leagueId,tier,number
0804759a-11fc-4ec1-9544-07ad9c8a589e,BRONZE,90
080f11f4-f60a-4687-ac54-556936ed3cec,BRONZE,60
08174397-9907-4882-a10d-0ee722e00513,BRONZE,140
08208991-80d8-40d4-b284-b4a43c1e672e,BRONZE,131
0821fa7c-7a90-476a-b436-7478e214e2e5,BRONZE,140
082240dc-e0e2-4cd7-a7f2-c73237ceb92d,IRON,27
082c1773-ba63-4480-933a-5cc7f5bebe20,BRONZE,133
082ed7b5-1922-45ae-8557-a3a0e49b778f,BRONZE,93
082f8118-84c8-4a25-8a5a-00f463cedf1c,BRONZE,135
0835e11e-96c5-48f3-b2d4-e0960a8701c1,GOLD,189
0837a4f1-7efc-4638-ad46-692bc85cfa47,IRON,23
083863c7-8632-4805-a082-3e9a59f2662f,BRONZE,52
083f70c8-7cc0-4bd2-9b3f-e40326a09336,IRON,46
0844fb9e-cdb7-4c43-b7dc-a8f3c91fe582,PLATINUM,192
084d6cee-5112-4922-85b6-f1f005904f93,BRONZE,99
084d719b-b4a7-417c-a7d2-667820132983,GOLD,192
085168d8-d4aa-4e1f-9446-b67302e0d981,BRONZE,122
0851f41c-7f9b-445e-8dde-042e74e51935,SILVER,103
08528c5a-b89f-40e2-b353-7a663824aa4a,BRONZE,64
08554892-baea-4f0e-8d6a-82bc3cf5c2e5,IRON,59
085dbb83-0143-4294-ba0a-78302738c784,SILVER,177
085f58d6-914c-4585-80db-730fc927c085,IRON,83
0864114c-6702-491c-a333-7e2ddd1ba4ff,BRONZE,143
087659ad-5bcf-4572-82d1-f68b342482f2,SILVER,170
088c39cc-c090-4f3e-8155-104cc3e340ea,DIAMOND,201
088efafe-de1e-408a-aba9-49f300163f09,SILVER,178
08910dc5-ed82-4309-bdee-0e990cfe5702,BRONZE,55
08996aad-c8f5-4e02-bddd-d00152f99b2b,BRONZE,60
08a3155d-024f-4bb9-89bf-e02b57ba8861,GOLD,194
08a34f12-a44c-421c-a2ea-def62f4ef153,SILVER,187
08abffd4-a04e-4234-b1ec-bd3508538306,IRON,29
08af3efe-2fdd-49fb-b619-d2de87731643,SILVER,172
08afee2d-225e-43f5-8fee-77a74267daf9,GOLD,191
08c50f85-2a4a-4142-9d32-592b8e58313a,GOLD,188
08cfdced-0a77-46a2-bd45-04e5869d2a8c,BRONZE,117
08d51c4c-31c3-4e2b-b184-1b0119a22437,IRON,35
08de6470-a11b-4607-afba-3476bc47367b,SILVER,167
08df4c9b-6f84-46cf-95ae-e7110c17e04a,IRON,53
08e8a6ea-37a0-4d39-9391-d276ecb23d0e,IRON,51
08f2c089-c2e1-4f8b-bccc-581f2f98a44a,GOLD,194
08fbf34d-0abb-4f18-8a1f-047bd8d79a56,BRONZE,143
08fea449-2803-4666-9699-49c72a604edb,IRON,56
0900aaac-3860-4f30-a1a3-3c8c6ecc6445,IRON,13
09055456-f19b-44c4-814a-99b0cd4a58d7,BRONZE,77
09095928-ef55-459d-b808-03b77026f58d,BRONZE,64
091a8a7d-860f-48dc-8faf-3260cbb0e036,SILVER,171
091d5c63-98c7-4d5b-aa27-d2c7a791a4cb,BRONZE,146
0921cb07-1f66-49b1-b667-c592db3f40c8,IRON,91
092fb593-84fc-4fc4-ab6a-d102ab78e0d1,GOLD,176
093095a5-dcff-4876-9cb2-3c7ce675c085,GOLD,188
093848f6-c068-49be-90f4-cb32de0f94e6,GOLD,187
093897d1-7d55-42ea-a82c-9935910203f1,IRON,42
093e1325-f5b8-4a8f-b267-e991568ee61a,BRONZE,64
094008ab-a32e-4d00-b259-489591ab3cc9,BRONZE,149
094a6880-b37e-4183-add2-95ad01aaf8af,IRON,12
094adb67-6163-44be-9869-96c14ed6c760,GOLD,189
094f91aa-8081-49bd-9d6c-aee84fb2adf7,SILVER,170
095256f2-3574-40ca-be02-0ecf6297b6ab,IRON,27
09540dc8-cd07-430e-8e8e-fa0d0da1390e,SILVER,173
09550938-2263-4b14-885e-d0bfd2578f64,BRONZE,99
095ad1bc-7e83-4db2-865f-0e9bf3be84ac,IRON,66
095b6c3b-b3ba-4029-9e4c-9290aae4e730,SILVER,177
0966d54b-0abf-47bc-9ce4-5971b0df8bb8,IRON,19
096b4eb7-8773-4b7e-81a4-e596529b61b0,SILVER,113
09724372-5333-42f0-9b8a-5fdfc9e5c7a9,BRONZE,67
0972f17f-4382-4b3b-a648-3f0fb59e6c1e,SILVER,175
0978e05d-2790-46c7-99d0-ba369e336e57,IRON,24
0979de3d-2dd8-49dd-a6eb-03a9b311c122,SILVER,181
097bd575-0cc8-4ac0-b96d-2d6745006ad0,IRON,79
097e9962-c417-4f72-883e-e53c60c89a34,GOLD,190
09817a51-422a-4249-af34-cff2c403de6e,BRONZE,67
0981e97b-19cc-46f4-bbf7-dbd145060029,GOLD,188
098a4154-a9e0-488e-8a1c-b1a53c31905d,GOLD,191
